--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
121.989  002.152  000.494: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
122.355  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
122.407  000.003  000.003: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
125.154  000.253  000.253: require('notify.util.queue')
125.168  000.589  000.336: require('notify.util')
125.698  000.092  000.092: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
125.738  000.023  000.023: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
125.747  000.574  000.459: require('notify.config.highlights')
125.757  001.543  000.380: require('notify.config')
126.520  000.388  000.388: require('notify.stages')
126.856  000.325  000.325: require('notify.service.notification')
128.037  000.379  000.379: require('notify.animate.spring')
128.052  000.788  000.409: require('notify.animate')
128.064  001.174  000.386: require('notify.windows')
129.112  000.322  000.322: require('notify.service.buffer.highlights')
129.131  000.719  000.397: require('notify.service.buffer')
129.141  001.071  000.352: require('notify.service')
129.486  000.338  000.338: require('notify.stages.util')
129.681  003.917  000.621: require('notify.instance')
129.692  007.265  001.805: require('notify')
130.192  000.382  000.382: require('notify.stages.fade_in_slide_out')
130.253  000.022  000.022: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
130.276  000.010  000.010: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
130.546  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
130.588  000.003  000.003: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
160.369  000.479  000.479: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\colors\nagatoro-krs.lua:0
160.774  001.352  000.874: sourcing C:\Users\Kristan\AppData\Local\nvim\colors\nagatoro-krs.lua
160.899  000.023  000.023: sourcing nvim_exec2() called at ColorScheme Autocommands for "*":0
161.713  000.165  000.165: sourcing C:/Users/Kristan/AppData/Local/nvim-data/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
161.742  000.562  000.397: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
161.763  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
161.844  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
165.848  000.590  000.590: require('nvim-web-devicons.filetypes')
167.337  000.926  000.926: require('nvim-web-devicons.default.icons_by_filename')
168.538  001.165  001.165: require('nvim-web-devicons.default.icons_by_file_extension')
169.173  000.608  000.608: require('nvim-web-devicons.default.icons_by_operating_system')
169.564  000.377  000.377: require('nvim-web-devicons.default.icons_by_desktop_environment')
169.945  000.371  000.371: require('nvim-web-devicons.default.icons_by_window_manager')
169.956  004.047  000.600: require('nvim-web-devicons.icons-default')
170.381  008.512  003.874: require('nvim-web-devicons')
174.658  000.012  000.012: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
174.785  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
176.333  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
176.376  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
177.905  000.007  000.007: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
177.949  000.003  000.003: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
180.221  002.245  002.245: require('alpha')
180.629  000.392  000.392: require('alpha.themes.dashboard')
180.943  000.268  000.268: require('plugins.krs.wsl')
189.982  000.011  000.011: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
190.042  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
190.310  000.017  000.017: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
190.338  000.015  000.015: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
190.374  000.025  000.025: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
190.408  000.016  000.016: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
190.433  000.015  000.015: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
190.460  000.018  000.018: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
192.293  000.007  000.007: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
192.359  000.003  000.003: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
194.901  000.332  000.332: require('bufferline.lazy')
195.241  000.316  000.316: require('bufferline.commands')
195.606  000.354  000.354: require('bufferline.config')
195.616  003.245  002.243: require('bufferline')
196.379  000.354  000.354: require('bufferline.utils')
196.402  000.737  000.383: require('bufferline.groups')
196.745  000.315  000.315: require('bufferline.constants')
197.022  000.262  000.262: require('bufferline.colors')
197.645  000.296  000.296: require('bufferline.highlights')
199.077  000.417  000.417: require('vim.version')
201.283  002.993  002.575: require('bufferline.hover')
201.918  000.529  000.529: require('bufferline.ui')
203.683  000.011  000.011: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
203.742  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
206.455  000.012  000.012: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
206.524  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
207.126  000.422  000.422: require('plugins.krs.statusline_picker')
210.578  000.445  000.445: require('lualine_require')
212.760  005.442  004.997: require('lualine')
213.116  000.029  000.029: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
217.229  000.508  000.508: require('lualine.highlight')
219.683  000.018  000.018: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
219.866  000.011  000.011: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
219.990  000.011  000.011: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
220.033  000.007  000.007: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
220.075  000.007  000.007: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
220.116  000.009  000.009: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
220.173  000.007  000.007: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
220.227  000.007  000.007: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
220.299  000.010  000.010: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
220.338  000.007  000.007: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
220.481  000.008  000.008: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
220.520  000.009  000.009: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
220.580  000.008  000.008: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
220.623  000.007  000.007: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
220.663  000.009  000.009: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
220.702  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
220.773  000.008  000.008: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
220.821  000.009  000.009: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
221.010  000.008  000.008: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
221.051  000.007  000.007: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
221.094  000.009  000.009: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
221.131  000.007  000.007: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
221.168  000.022  000.022: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
230.242  000.059  000.059: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
230.268  000.011  000.011: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
231.633  000.011  000.011: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
231.668  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
231.724  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
231.847  000.008  000.008: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
231.875  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
231.910  000.012  000.012: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
231.936  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
231.970  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
231.994  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
232.021  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
232.048  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
232.074  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
232.098  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
232.124  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
232.153  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
232.177  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
232.202  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
232.241  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
232.266  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
232.292  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
232.316  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
233.157  000.050  000.050: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
233.173  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
233.212  000.033  000.033: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
233.230  000.010  000.010: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.274  000.014  000.014: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.312  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.340  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.366  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.417  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.455  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.483  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.515  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.540  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.567  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.593  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.617  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.644  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.668  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.707  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.732  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.758  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.801  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.828  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.853  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.877  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.905  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.935  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.959  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
236.984  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
237.007  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
237.032  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
237.058  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
238.319  000.529  000.529: require('lualine.utils.mode')
240.809  000.025  000.025: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
240.922  000.065  000.065: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
240.974  000.040  000.040: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
240.996  000.010  000.010: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
241.013  000.008  000.008: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
241.271  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
241.323  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
243.777  000.008  000.008: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
243.823  000.003  000.003: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
