--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
206.842  002.805  002.805: sourcing nvim_exec2() called at C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/filetype.lua:0
206.868  003.421  000.616: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/filetype.lua
206.911  003.969  000.547: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
207.511  000.008  000.008: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
207.578  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
212.327  000.538  000.538: require('notify.util.queue')
212.349  001.189  000.651: require('notify.util')
212.838  000.083  000.083: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
212.889  000.031  000.031: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
212.899  000.540  000.426: require('notify.config.highlights')
212.911  002.339  000.611: require('notify.config')
213.829  000.465  000.465: require('notify.stages')
214.312  000.468  000.468: require('notify.service.notification')
215.797  000.589  000.589: require('notify.animate.spring')
215.814  001.040  000.451: require('notify.animate')
216.046  001.720  000.680: require('notify.windows')
217.578  000.549  000.549: require('notify.service.buffer.highlights')
217.611  001.100  000.552: require('notify.service.buffer')
217.627  001.574  000.473: require('notify.service')
218.114  000.480  000.480: require('notify.stages.util')
218.133  005.213  000.507: require('notify.instance')
218.148  010.543  002.990: require('notify')
218.773  000.452  000.452: require('notify.stages.fade_in_slide_out')
218.846  000.026  000.026: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
218.883  000.021  000.021: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
219.209  000.014  000.014: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
219.278  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
222.725  000.188  000.188: sourcing C:/Users/Kristan/AppData/Local/nvim-data/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
222.775  000.775  000.587: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
222.812  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
222.928  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
226.950  000.672  000.672: require('nvim-web-devicons.filetypes')
228.499  000.893  000.893: require('nvim-web-devicons.default.icons_by_filename')
229.855  001.333  001.333: require('nvim-web-devicons.default.icons_by_file_extension')
230.648  000.749  000.749: require('nvim-web-devicons.default.icons_by_operating_system')
231.784  001.113  001.113: require('nvim-web-devicons.default.icons_by_desktop_environment')
232.423  000.610  000.610: require('nvim-web-devicons.default.icons_by_window_manager')
232.448  005.422  000.724: require('nvim-web-devicons.icons-default')
232.950  009.979  003.886: require('nvim-web-devicons')
238.030  000.029  000.029: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
238.107  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
241.630  000.361  000.361: require('bufferline.lazy')
243.213  001.562  001.562: require('bufferline.commands')
243.784  000.549  000.549: require('bufferline.config')
243.802  005.678  003.206: require('bufferline')
244.834  000.455  000.455: require('bufferline.utils')
244.848  000.922  000.467: require('bufferline.groups')
245.241  000.356  000.356: require('bufferline.constants')
245.758  000.504  000.504: require('bufferline.colors')
246.812  000.438  000.438: require('bufferline.highlights')
248.916  000.527  000.527: require('vim.version')
251.664  003.790  003.263: require('bufferline.hover')
252.497  000.687  000.687: require('bufferline.ui')
253.856  000.016  000.016: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
253.931  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
