--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
202.841  000.007  000.007: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
207.210  004.350  004.350: require('alpha')
207.809  000.577  000.577: require('alpha.themes.dashboard')
211.314  000.011  000.011: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
211.383  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
216.671  000.564  000.564: sourcing C:/Users/Kristan/AppData/Local/nvim-data/lazy/conform.nvim/plugin/conform.lua
216.726  001.186  000.622: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
216.772  000.007  000.007: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
216.878  000.007  000.007: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
221.645  004.419  004.419: require('conform')
221.857  000.014  000.014: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
221.942  000.007  000.007: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
223.004  001.042  001.042: require('mason-conform')
225.571  000.334  000.334: require('mason-core.functional.data')
226.304  000.489  000.489: require('mason-core.functional.function')
226.849  000.524  000.524: require('mason-core.functional.list')
227.354  000.478  000.478: require('mason-core.functional.relation')
227.823  000.451  000.451: require('mason-core.functional.logic')
228.331  000.490  000.490: require('mason-core.functional.number')
228.890  000.477  000.477: require('mason-core.functional.string')
229.422  000.507  000.507: require('mason-core.functional.table')
229.948  000.505  000.505: require('mason-core.functional.type')
229.967  005.148  000.893: require('mason-core.functional')
230.544  000.567  000.567: require('mason-core.path')
231.746  001.187  001.187: require('mason.settings')
231.890  007.534  000.632: require('mason-core.log')
231.971  008.046  000.512: require('mason-core.EventEmitter')
233.174  000.611  000.611: require('mason-core.platform')
233.192  001.205  000.594: require('mason-core.installer.InstallLocation')
233.699  000.500  000.500: require('mason-registry.sources')
233.986  010.532  000.781: require('mason-registry')
234.556  000.555  000.555: require('mason-conform.mapping')
234.576  011.557  000.470: require('mason-conform.auto_install')
235.365  000.774  000.774: require('mason-core.async')
236.568  000.545  000.545: require('mason-core.async.uv')
236.654  001.270  000.726: require('mason-core.fs')
239.396  000.443  000.443: require('mason-core.optional')
240.152  000.363  000.363: require('mason-core.result')
240.255  000.843  000.480: require('mason-core.purl')
240.799  000.536  000.536: require('mason-core.async.control')
240.826  002.445  000.623: require('mason-core.package.AbstractPackage')
243.203  000.659  000.659: require('mason-core.installer.compiler.expr')
243.245  001.223  000.564: require('mason-core.installer.compiler.link')
245.736  000.824  000.824: require('mason-core.process')
246.520  000.763  000.763: require('mason-core.spawn')
246.545  002.168  000.581: require('mason-core.installer.managers.powershell')
247.260  000.704  000.704: require('mason.version')
247.279  003.498  000.626: require('mason-core.fetch')
250.894  001.035  001.035: require('mason-core.installer.context.InstallContextCwd')
251.839  000.922  000.922: require('mason-core.installer.context.InstallContextFs')
252.505  000.650  000.650: require('mason-core.installer.context.InstallContextSpawn')
253.313  000.788  000.788: require('mason-core.receipt')
253.359  004.290  000.895: require('mason-core.installer.context')
253.371  005.244  000.954: require('mason-core.installer')
253.408  006.119  000.876: require('mason-core.installer.managers.std')
253.419  010.164  000.547: require('mason-core.installer.compiler.schemas')
253.929  000.501  000.501: require('mason-core.installer.compiler.util')
253.959  012.543  000.654: require('mason-core.installer.compiler')
254.543  000.573  000.573: require('mason-core.installer.linker')
254.565  013.729  000.613: require('mason-core.installer.InstallRunner')
255.050  000.476  000.476: require('mason-core.installer.UninstallRunner')
255.075  017.426  000.777: require('mason-core.package')
255.091  018.030  000.604: require('mason-registry.sources.synthesized')
265.697  000.156  000.156: sourcing C:/Users/Kristan/AppData/Local/nvim-data/lazy/plenary.nvim/plugin/plenary.vim
265.736  000.577  000.421: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
265.789  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
265.876  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
269.337  000.015  000.015: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
269.423  000.007  000.007: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
273.532  000.013  000.013: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
273.621  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
284.434  005.403  005.403: require('snacks')
284.456  005.894  000.491: sourcing C:/Users/Kristan/AppData/Local/nvim-data/lazy/snacks.nvim/plugin/snacks.lua
284.505  006.417  000.523: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
284.546  000.011  000.011: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
284.657  000.007  000.007: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
286.159  000.626  000.626: sourcing C:/Users/Kristan/AppData/Local/nvim-data/lazy/neo-tree.nvim/plugin/neo-tree.lua
